Event ID	Description
 	512	Windows NT is starting up. (Legacy) Logged when the operating system begins to start, marking the initialization of auditing. 
 	513	Windows NT is shutting down. (Legacy) Occurs when the operating system is shutting down, marking the end of the auditing session. 
 	514	An authentication package was loaded by the Local Security Authority. Logged when LSA loads an authentication DLL or package for logon processing. 
 	515	Trusted logon process has been registered with the Local Security Authority. Logged when a new, trusted logon process (like Kerberos) is registered with LSA. 
 	516	Extranet lockout.
This event is generated when a user account is locked out due to too many bad password submissions to AD FS. It is logged on domain controllers and member computers. 
 	517	The audit log was cleared. Logged when the event log is cleared, typically by an administrator. 
 	518	An account was successfully mapped to a domain account. Logged when a local account is mapped to a domain account for access. 
 	519	A process is using a user’s credentials for network access. Occurs when one process uses another user’s credentials to access network resources. 
 	520	The event message file for event log could not be loaded. Logged when Windows cannot load the message file for an event log, resulting in unreadable messages. 
 	521	Unable to log events in the security log.
This event is generated when Windows is unable to write events to the security event log. It is logged on domain controllers and member computers. 
 	528	Successful logon. (Legacy, pre-Windows Server 2008) Logged when a user successfully logs on to a computer. 
 	529	Logon failure: unknown user name or bad password. (Legacy, pre-Windows Server 2008) Occurs when a logon attempt fails because of an invalid username or password. 
 	530	Logon failure: account logon time restriction violation. (Legacy, pre-Windows Server 2008) Logged when a user tries to log on outside permitted logon hours. 
 	531	Logon failure: account currently disabled. (Legacy, pre-Windows Server 2008) Occurs when a user tries to log on using a disabled account. 
 	532	Logon failure: account expired. (Legacy, pre-Windows Server 2008) Logged when a user tries to log on using an expired account. 
 	533	Logon failure: account not allowed to log on at this computer. (Legacy, pre-Windows Server 2008) Occurs if the user is not allowed to log on at that specific computer. 
 	534	Logon failure: the user has not been granted the requested logon type at this machine. (Legacy, pre-Windows Server 2008) Indicates the user account does not have permission to log on in the specified way. 
 	535	Logon failure: the specified account's password has expired. (Legacy, pre-Windows Server 2008) Logged when a user tries to log on with an expired password. 
 	536	Logon failure: NetLogon service is not active. (Legacy, pre-Windows Server 2008) Occurs when the NetLogon service needed for certain logon types is not available. 
 	537	Logon failure: unknown reason or internal error. (Legacy, pre-Windows Server 2008) Logged for various reasons when logon fails and no specific error applies. 
 	538	User logoff. (Legacy, pre-Windows Server 2008) Logged when a user logs off from the system. 
 	539	Logon failure: account locked out. (Legacy, pre-Windows Server 2008) Occurs when a user tries to log on to an account that is currently locked out. 
 	540	Successful Network Logon. (Legacy, pre-Windows Server 2008) Logged when a network logon (via SMB, etc.) succeeds. 
 	551	User initiated logoff. (Legacy, pre-Windows Server 2008) Logged when a user logs off interactively. 
 	552	Logon attempt using explicit credentials. (Legacy, pre-Windows Server 2008) Occurs when a user account is logged onto using explicit credentials (e.g., RunAs). 
 	560	A handle to an object was requested.
This event is generated every time specific access is requested for an object, such as a file system, kernel, registry object, or a file system object on a removable storage device. It is logged on domain controllers, member servers, and workstations. 
 	561	Handle closed. (Legacy, pre-Windows Server 2008) Occurs when a previously opened handle to an audited object is closed. 
 	562	Handle to object deleted. (Legacy, pre-Windows Server 2008) Logged when a handle to an object is deleted or destroyed. 
 	563	An object was opened for deletion.
This event is generated every time an object is accessed successfully with the intention of deleting it. It is logged on domain controllers, member servers, and workstations. 
 	564	An object was deleted.
This event is generated every time an Active Directory object is successfully deleted. It is logged on domain controllers, member servers, and workstations. 
